FID,VDC_Jur,GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4,NAME_5,CF_area,CF,Frst_size,Frst,Gap_size,Gaps,Floss_size,Floss,Mean_dist,CF_F,Floss_CF,Floss_Frst
80,Arghakhanchi_Balkot,NPL.5.3.1.5_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Balkot,NA,Village development committee,Village development committee,NA,Balkot,91.82,6,866.8033422,13,44.18363631,760,0.124401238,13,66.41626871,0.105929449,0.001354838,0.00014
81,Arghakhanchi_Bangi,NPL.5.3.1.6_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Bangi,NA,Village development committee,Village development committee,NA,Bangi,166.17,5,774.4858593,10,40.64170038,1026,0.041428492,4,0,0.214555241,0.000249314,0.00005
82,Arghakhanchi_Bangla,NPL.5.3.1.7_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Bangla,NA,Village development committee,Village development committee,NA,Bangla,586.28,13,1101.495581,10,51.77709932,997,0.024881097,3,51.19441343,0.53225815,4.24389E-05,0.00002
83,Arghakhanchi_Bhagawati,NPL.5.3.1.8_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Bhagawati,NA,Village development committee,Village development committee,NA,Bhagawati,107.57,7,654.092156,1,45.43587408,815,0.057824853,7,60.50989229,0.164456948,0.000537556,0.00009
84,Arghakhanchi_Chhatraganj,NPL.5.3.1.9_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Chhatraganj,NA,Village development committee,Village development committee,NA,Chhatraganj,209.07,11,645.2415482,7,37.10684632,679,0.14933404,16,139.1827727,0.324018192,0.000714278,0.00023
85,Arghakhanchi_Chidika,NPL.5.3.1.10_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Chidika,NA,Village development committee,Village development committee,NA,Chidika,143.19,5,773.07302,16,44.11859444,798,0.737990914,34,55.97784617,0.185221831,0.005153928,0.00095
86,Arghakhanchi_Dhakawang,NPL.5.3.1.11_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Dhakawang,NA,Village development committee,Village development committee,NA,Dhakawang,255.02,9,2328.039024,24,72.51057727,1813,0.323263239,16,231.56136,0.109542837,0.0012676,0.00014
87,Arghakhanchi_Dhanchaur,NPL.5.3.1.12_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Dhanchaur,NA,Village development committee,Village development committee,NA,Dhanchaur,322.77,3,1817.134238,1,36.64728344,697,0.033183035,3,7.362914926,0.177625843,0.000102807,0.00002
88,Arghakhanchi_Dharapani,NPL.5.3.1.13_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Dharapani,NA,Village development committee,Village development committee,NA,Dharapani,540.71,14,1793.217864,5,45.27995633,1038,0.364766672,36,98.72355266,0.301530567,0.000674607,0.0002
89,Arghakhanchi_Dhatiwang,NPL.5.3.1.14_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Dhatiwang,NA,Village development committee,Village development committee,NA,Dhatiwang,0,0,1476.194333,4,49.99066711,992,0.199127035,22,237.6495709,0,0,0.00013
90,Arghakhanchi_Dhikura,NPL.5.3.1.15_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Dhikura,NA,Village development committee,Village development committee,NA,Dhikura,381.83,8,1561.074409,6,47.26277097,984,0.074655555,7,156.0849642,0.244594363,0.00019552,0.00005
91,Arghakhanchi_Dibharna,NPL.5.3.1.16_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Dibharna,NA,Village development committee,Village development committee,NA,Dibharna,530.39,16,1208.537562,9,64.65858973,1373,0.091166723,10,72.03155036,0.438869272,0.000171886,0.00008
92,Arghakhanchi_Gorkhunga,NPL.5.3.1.17_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Gorkhunga,NA,Village development committee,Village development committee,NA,Gorkhunga,109.7,5,1289.353264,8,32.1855545,794,0.057994254,7,66.02663881,0.085081415,0.000528662,0.00004
93,Arghakhanchi_Hansapur,NPL.5.3.1.18_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Hansapur,NA,Village development committee,Village development committee,NA,Hansapur,503.27,17,2346.593592,2,66.38672896,1455,0.472313058,26,121.7866942,0.214468326,0.000938488,0.0002
94,Arghakhanchi_Jukena,NPL.5.3.1.19_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Jukena,NA,Village development committee,Village development committee,NA,Jukena,25.59,2,4414.756351,10,125.525622,1972,0.149409568,18,59.49728116,0.005796469,0.005838592,0.00003
95,Arghakhanchi_Juluke,NPL.5.3.1.20_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Juluke,NA,Village development committee,Village development committee,NA,Juluke,2967.65,16,6908.473896,7,141.0436019,2279,2.375849133,169,67.32082317,0.429566652,0.000800583,0.00034
96,Arghakhanchi_Keemadada,NPL.5.3.1.21_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Keemadada,NA,Village development committee,Village development committee,NA,Keemadada,421.67,10,1027.491195,6,40.26274774,874,0.04971632,6,16.50610695,0.410387945,0.000117903,0.00005
97,Arghakhanchi_Kerunga,NPL.5.3.1.22_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Kerunga,NA,Village development committee,Village development committee,NA,Kerunga,283.35,8,1241.755723,6,51.37408208,1035,0.232139168,21,126.6670256,0.228184976,0.000819267,0.00019
